order_number,product_name,variant_name,quantity,unit_price,subtotal
ORD-240108-90053,C-Purlins GI,"2"" x 3"" x 6m (1.0mm)",3,380.00,1140.00
ORD-240108-90053,Novtek Concrete Sealer 4 Liters,,2,480.00,960.00
ORD-240108-90053,Neltex PPR PVC Pipe,"1/2"" x 3m",6,109.00,654.00
ORD-240109-45202,"Hardiflex Screw 1""",,50,2.50,125.00
ORD-240109-45202,Tekscrew,"3"" (Per Piece)",17,4.00,68.00
ORD-240109-45202,Longspan RIB22,16ft (0.4mm),3,708.00,2124.00
ORD-240109-24538,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",1,650.00,650.00
ORD-240109-24538,Concrete Hollow Block,"4"" CHB (Per Piece)",8,12.00,96.00
ORD-240109-24538,Concrete Nail,"2"" (Per Kilo)",2,120.00,240.00
ORD-240109-24538,Adjustable Hacksaw,,2,130.00,260.00
ORD-240109-24740,"Hardiflex Screw 1""",,29,2.50,72.50
ORD-240109-24740,Boysen Lacquer Thinner B50,4 Liters,2,875.00,1750.00
ORD-240109-24740,Tekscrew,"1"" (Per Piece)",93,2.00,186.00
ORD-240109-18827,C-Purlins GI,"2"" x 4"" x 6m (1.2mm)",2,510.00,1020.00
ORD-240109-18827,Marine Plywood Local,1/2 (4x8ft),1,640.00,640.00
ORD-240109-18827,Adjustable Hacksaw,,6,130.00,780.00
ORD-240110-32332,Coco Lumber,2x2x8 (Per Piece),7,48.00,336.00
ORD-240110-32332,Tekscrew,"1"" (Per Piece)",77,2.00,154.00
ORD-240110-32332,Tekscrew,"1.5"" (Per Piece)",56,2.50,140.00
ORD-240110-32332,G.I Pipe Local S20,"2"" (20ft)",3,940.00,2820.00
ORD-240110-32332,Deformed Bar G33,16mm x 6m,4,235.00,940.00
ORD-240110-10345,"Hardiflex Screw 1""",,54,2.50,135.00
ORD-240110-10345,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",2,32.00,64.00
ORD-240110-80736,Carrying Channel,,3,105.00,315.00
ORD-240110-80736,Good Lumber S4S,2x2 per Board Foot,9,62.00,558.00
ORD-240110-80736,Boysen Lacquer Thinner B50,1 Liter,1,248.00,248.00
ORD-240110-80736,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240111-53440,Tox,#8 Tox (Per Box),1,48.00,48.00
ORD-240111-53440,Deformed Bar G33,16mm x 6m,1,235.00,235.00
ORD-240111-53440,Novtek Concrete Sealer 4 Liters,,3,480.00,1440.00
ORD-240111-84444,Neltex Sanitary PVC Pipe S600,"2"" x 3m",4,268.00,1072.00
ORD-240111-84444,Deformed Bar G40,16mm x 6m,1,293.00,293.00
ORD-240111-84444,Phenolic Board 18mm,,3,780.00,2340.00
ORD-240111-84444,White Sand,,8,48.00,384.00
ORD-240111-84444,Tekscrew,"2"" (Per Piece)",54,3.00,162.00
ORD-240112-73701,KD S4S Wood PL,2x2 per Board Foot,3,72.00,216.00
ORD-240112-07833,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",4,32.00,128.00
ORD-240112-07833,Flat Bar,"1.5"" x 3mm (20ft)",2,265.00,530.00
ORD-240112-53900,Concrete Hollow Block,"4"" CHB (Per Piece)",19,12.00,228.00
ORD-240112-53900,Longspan RIB22,10ft (0.4mm),3,443.00,1329.00
ORD-240112-13100,Longspan RIB22,10ft (0.5mm),2,602.00,1204.00
ORD-240112-13100,Flat Bar,"2"" x 3mm (20ft)",2,330.00,660.00
ORD-240112-13100,Lucky PPR Elbow Female 1/2,,11,29.00,319.00
ORD-240113-86251,Marine Plywood Local,3/4 (4x8ft),3,920.00,2760.00
ORD-240113-86251,Coco Lumber,2x2x8 (Per Piece),12,48.00,576.00
ORD-240113-46459,Tekscrew,"2"" (Per Piece)",27,3.00,81.00
ORD-240113-46459,Angle Bar,"2"" x 2"" x 3mm (20ft)",1,1100.00,1100.00
ORD-240113-46459,Metal Studs,,6,165.00,990.00
ORD-240114-47196,Tekscrew,"2"" (Per Piece)",85,3.00,255.00
ORD-240114-47196,Angle Bar,"2"" x 2"" x 3mm (20ft)",1,1100.00,1100.00
ORD-240115-45000,Nihonweld Welding Rod N6013,"5/32"" (4.0mm) per kg",6,175.00,1050.00
ORD-240115-45000,Lucky PPR Elbow Female 1/2,,19,29.00,551.00
ORD-240115-23347,Circuit Breaker Bolt-On,15A,4,258.00,1032.00
ORD-240115-01231,G.I Pipe Local S20,"3/4"" (20ft)",3,320.00,960.00
ORD-240115-01231,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240115-01231,Marine Plywood Local,1/2 (4x8ft),1,640.00,640.00
ORD-240116-02302,Metal Furring,25 x 50 (10ft),1,93.00,93.00
ORD-240116-02302,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",5,48.00,240.00
ORD-240116-99349,Neltex Sanitary PVC Pipe S600,"4"" x 3m",1,608.00,608.00
ORD-240116-99349,Concrete Hollow Block,"4"" CHB (Per Piece)",13,12.00,156.00
ORD-240116-99349,"Neltex Electrical Pipe Thickwall 1/2""",,8,65.00,520.00
ORD-240116-99349,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240116-99349,Nihonweld Welding Rod N6013,"1/8"" (3.2mm) 5kg pack",2,616.00,1232.00
ORD-240117-91542,Concrete Hollow Block,"6"" CHB (Per Piece)",23,16.00,368.00
ORD-240117-91542,G.I Pipe Local S20,"3/4"" (20ft)",2,320.00,640.00
ORD-240117-91542,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240118-78582,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240118-78582,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",8,32.00,256.00
ORD-240118-78582,Flat Bar,"1.5"" x 3mm (20ft)",1,265.00,265.00
ORD-240118-78582,Tekscrew,"1"" (Per Piece)",59,2.00,118.00
ORD-240118-78582,Lucky PPR Elbow Female 1/2,,4,29.00,116.00
ORD-240119-57081,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",2,650.00,1300.00
ORD-240119-57081,Coco Lumber,2x3x8 (Per Piece),5,72.00,360.00
ORD-240119-76923,Tox,#8 Tox (Per Box),10,48.00,480.00
ORD-240119-76923,Marine Plywood Local,3/4 (4x8ft),3,920.00,2760.00
ORD-240119-76923,Tekscrew,"1.5"" (Per Piece)",78,2.50,195.00
ORD-240119-62356,White Sand,,8,48.00,384.00
ORD-240119-62356,Neltex Sanitary PVC Pipe S600,"4"" x 3m",1,608.00,608.00
ORD-240119-62356,Phenolic Board 1/2 Croco,,1,620.00,620.00
ORD-240119-62356,Concrete Hollow Block,"6"" CHB (Per Piece)",3,16.00,48.00
ORD-240120-34422,Circuit Breaker Bolt-On,30A,3,268.00,804.00
ORD-240120-34422,C-Purlins GI,"2"" x 3"" x 6m (1.2mm)",2,450.00,900.00
ORD-240120-34422,Deformed Bar G40,16mm x 6m,1,293.00,293.00
ORD-240120-37562,Tubular Bar GI,"2"" x 2"" (20ft) 1.0mm",1,510.00,510.00
ORD-240120-26710,Gravel 3/4,,3,52.00,156.00
ORD-240120-26710,Coco Lumber,2x2x8 (Per Piece),10,48.00,480.00
ORD-240120-26710,Tekscrew,"3"" (Per Piece)",35,4.00,140.00
ORD-240121-35173,Nihonweld Welding Rod N6013,"5/32"" (4.0mm) per kg",1,175.00,175.00
ORD-240121-35173,Tubular Bar GI,"2"" x 2"" (20ft) 1.0mm",2,510.00,1020.00
ORD-240122-64093,Tekscrew,"1.5"" (Per Piece)",21,2.50,52.50
ORD-240122-36377,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240122-36377,W-Clip,,100,2.00,200.00
ORD-240122-36377,Neltex Sanitary PVC Pipe S600,"4"" x 3m",1,608.00,608.00
ORD-240122-05280,Coco Lumber,2x4x8 (Per Piece),11,96.00,1056.00
ORD-240122-05280,Longspan RIB22,8ft (0.5mm),1,482.00,482.00
ORD-240123-52865,Circuit Breaker Bolt-On,30A,5,268.00,1340.00
ORD-240123-15769,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",9,32.00,288.00
ORD-240123-15769,C-Purlins GI,"2"" x 4"" x 6m (1.2mm)",3,510.00,1530.00
ORD-240123-45381,Circuit Breaker Bolt-On,15A,2,258.00,516.00
ORD-240123-32927,Tekscrew,"2.5"" (Per Piece)",66,3.50,231.00
ORD-240123-32927,Metal Furring,25 x 50 (10ft),3,93.00,279.00
ORD-240123-32927,Tekscrew,"2"" (Per Piece)",23,3.00,69.00
ORD-240123-19277,Deformed Bar G40,10mm x 6m,5,115.00,575.00
ORD-240123-06473,Black Screw Metal,"2"" (Per Box 500pcs)",2,310.00,620.00
ORD-240123-06473,"Hardiflex Screw 1""",,12,2.50,30.00
ORD-240124-98651,G.I Pipe Local S20,"1/2"" (20ft)",6,245.00,1470.00
ORD-240124-98651,Good Lumber S4S,2x6 per Board Foot,10,65.00,650.00
ORD-240124-54608,KD S4S Wood PL,1x2 per Board Foot,6,72.00,432.00
ORD-240124-08912,Bistay per Sack,,5,185.00,925.00
ORD-240124-99329,Longspan RIB22,12ft (0.5mm),2,722.00,1444.00
ORD-240124-99329,Tubular Bar GI,"2"" x 2"" (20ft) 1.0mm",3,510.00,1530.00
ORD-240124-99329,Concrete Hollow Block,"4"" CHB (Per Piece)",19,12.00,228.00
ORD-240125-43372,Neltex Electrical Pipe Thinwall,"1"" Per Piece",7,68.00,476.00
ORD-240125-43372,Tox,#8 Tox (Per Box),4,48.00,192.00
ORD-240125-43372,White Sand,,5,48.00,240.00
ORD-240125-70155,Tubular Bar GI,"1"" x 1"" (20ft) 1.2mm",2,320.00,640.00
ORD-240125-70155,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240125-70155,C-Purlins GI,"2"" x 3"" x 6m (1.0mm)",2,380.00,760.00
ORD-240126-18673,Tox,#12 Tox (Per Box),7,85.00,595.00
ORD-240126-18673,Flat Bar,"1"" x 3mm (20ft)",4,195.00,780.00
ORD-240126-18673,Tekscrew,"1.5"" (Per Piece)",48,2.50,120.00
ORD-240126-18673,Nihonweld Welding Rod N6013,"1/8"" (3.2mm) 5kg pack",3,616.00,1848.00
ORD-240126-18673,Lucky PPR Elbow Female 1/2,,16,29.00,464.00
ORD-240126-54369,Black Screw Pointed,"1"" (Per Box 500pcs)",2,210.00,420.00
ORD-240126-54369,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",7,32.00,224.00
ORD-240126-99541,Coco Lumber,2x2x8 (Per Piece),7,48.00,336.00
ORD-240126-18995,Deformed Bar G33,12mm x 6m,3,130.00,390.00
ORD-240126-18995,Tekscrew,"1.5"" (Per Piece)",18,2.50,45.00
ORD-240126-68425,Tubular Bar GI,"1"" x 1"" (20ft) 1.0mm",5,270.00,1350.00
ORD-240126-68425,Gardner,,2,295.00,590.00
ORD-240126-68425,Lucky PPR Elbow Female 1/2,,24,29.00,696.00
ORD-240126-68425,Coco Lumber,2x2x10 (Per Piece),10,60.00,600.00
ORD-240127-39937,Tekscrew,"3"" (Per Piece)",92,4.00,368.00
ORD-240127-43896,W-Clip,,23,2.00,46.00
ORD-240127-74701,Plywood Ordinary,3/4 (4x8ft),1,710.00,710.00
ORD-240127-17806,Neltex PPR PVC Pipe,"1/2"" x 3m",2,109.00,218.00
ORD-240127-17806,Plywood Ordinary,3/4 (4x8ft),3,710.00,2130.00
ORD-240127-81077,White Sand,,4,48.00,192.00
ORD-240127-81077,Tekscrew,"3"" (Per Piece)",87,4.00,348.00
ORD-240127-81077,Boysen Permacoat Flat Latex White,1 Liter,3,225.00,675.00
ORD-240127-81077,Black Screw Pointed,"1"" (Per Box 500pcs)",5,210.00,1050.00
ORD-240128-80609,Tekscrew,"1"" (Per Piece)",84,2.00,168.00
ORD-240128-80609,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",6,32.00,192.00
ORD-240128-09746,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",5,48.00,240.00
ORD-240128-09746,Tekscrew,"2.5"" (Per Piece)",66,3.50,231.00
ORD-240128-09746,Wood Screw Flat Head,"2"" (Per Kilo)",1,168.00,168.00
ORD-240128-09746,Good Lumber S4S,1x2 per Board Foot,3,62.00,186.00
ORD-240129-02969,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240129-02969,Longspan RIB22,12ft (0.5mm),3,722.00,2166.00
ORD-240130-13396,Common Wire Nail,"1"" (Per Kilo)",3,65.00,195.00
ORD-240130-13396,Tekscrew,"1"" (Per Piece)",100,2.00,200.00
ORD-240130-13396,Common Wire Nail,"3"" (Per Kilo)",3,58.00,174.00
ORD-240130-13396,Tekscrew,"1.5"" (Per Piece)",75,2.50,187.50
ORD-240130-13396,Gravel 3/4,,1,52.00,52.00
ORD-240130-63742,Phenolic Board 18mm,,2,780.00,1560.00
ORD-240130-63742,Boysen Lacquer Thinner B50,4 Liters,3,875.00,2625.00
ORD-240130-63742,Adjustable Hacksaw,,2,130.00,260.00
ORD-240131-38032,White Sand,,1,48.00,48.00
ORD-240131-38032,Longspan RIB22,14ft (0.4mm),1,620.00,620.00
ORD-240131-24938,Coco Lumber,2x3x10 (Per Piece),1,90.00,90.00
ORD-240131-24938,Boysen Lacquer Thinner B50,4 Liters,1,875.00,875.00
ORD-240131-50671,Circuit Breaker Bolt-On,20A,6,258.00,1548.00
ORD-240131-50671,"Neltex Electrical Pipe Thickwall 1/2""",,1,65.00,65.00
ORD-240131-50671,Longspan RIB22,16ft (0.4mm),1,708.00,708.00
ORD-240131-50671,Concrete Hollow Block,"6"" CHB (Per Piece)",6,16.00,96.00
ORD-240131-50671,Tekscrew,"2.5"" (Per Piece)",88,3.50,308.00
ORD-240201-52115,White Sand,,6,48.00,288.00
ORD-240201-52115,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",2,32.00,64.00
ORD-240201-52115,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240201-10352,Tekscrew,"2.5"" (Per Piece)",14,3.50,49.00
ORD-240201-10352,Lucky PPR Elbow Female 1/2,,9,29.00,261.00
ORD-240201-98358,Concrete Hollow Block,"6"" CHB (Per Piece)",17,16.00,272.00
ORD-240201-98358,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",3,650.00,1950.00
ORD-240201-98358,Angle Bar,"1"" x 1"" x 2mm (20ft)",1,360.00,360.00
ORD-240201-34858,Concrete Hollow Block,"6"" CHB (Per Piece)",14,16.00,224.00
ORD-240202-76831,KD S4S Wood PL,2x2 per Board Foot,1,72.00,72.00
ORD-240202-26534,Black Screw Pointed,"1"" (Per Box 500pcs)",3,210.00,630.00
ORD-240202-26534,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240202-26534,Tox,#12 Tox (Per Box),5,85.00,425.00
ORD-240202-26534,Longspan RIB22,14ft (0.4mm),1,620.00,620.00
ORD-240203-66643,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240203-66643,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240203-66643,Longspan RIB22,14ft (0.4mm),1,620.00,620.00
ORD-240203-66643,Wood Screw Flat Head,"3/4"" (Per Kilo)",4,195.00,780.00
ORD-240204-91511,Lucky PPR Elbow Female 1/2,,20,29.00,580.00
ORD-240204-46637,Tekscrew,"1"" (Per Piece)",52,2.00,104.00
ORD-240204-46637,KD S4S Wood PL,2x6 per Board Foot,1,75.00,75.00
ORD-240204-44081,Circuit Breaker Bolt-On,60A,2,378.00,756.00
ORD-240204-44081,Tox,#8 Tox (Per Box),8,48.00,384.00
ORD-240205-92142,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",8,32.00,256.00
ORD-240205-92142,Tekscrew,"2"" (Per Piece)",51,3.00,153.00
ORD-240205-46729,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240205-46729,Boysen Lacquer Thinner B50,4 Liters,2,875.00,1750.00
ORD-240206-97722,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240206-97722,Longspan RIB22,12ft (0.4mm),3,531.00,1593.00
ORD-240207-32002,Marine Plywood Local,1/4 (4x8ft),1,380.00,380.00
ORD-240207-79417,White Sand,,7,48.00,336.00
ORD-240207-79417,Tekscrew,"1"" (Per Piece)",56,2.00,112.00
ORD-240207-79417,Coco Lumber,2x2x8 (Per Piece),10,48.00,480.00
ORD-240207-79417,Concrete Hollow Block,"6"" CHB (Per Piece)",21,16.00,336.00
ORD-240207-86550,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240208-74263,Common Wire Nail,"2"" (Per Kilo)",10,60.00,600.00
ORD-240208-74263,Camel Drawer Lock,,9,85.00,765.00
ORD-240208-74263,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240209-55748,Phenolic Board 1/2 Croco,,3,620.00,1860.00
ORD-240209-55748,Coco Lumber,2x4x10 (Per Piece),3,120.00,360.00
ORD-240209-55748,Shadow Line,,11,80.00,880.00
ORD-240209-82676,Angle Bar,"2"" x 2"" x 3mm (20ft)",1,1100.00,1100.00
ORD-240209-82676,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240210-53122,"Hardiflex Screw 1""",,42,2.50,105.00
ORD-240210-53122,Neltex Sanitary PVC Pipe S600,"4"" x 3m",1,608.00,608.00
ORD-240210-53122,Longspan RIB22,10ft (0.4mm),3,443.00,1329.00
ORD-240210-30738,Neltex Sanitary PVC Pipe S600,"2"" x 3m",1,268.00,268.00
ORD-240210-30738,Plywood Ordinary,3/4 (4x8ft),1,710.00,710.00
ORD-240210-34344,Longspan RIB22,16ft (0.4mm),1,708.00,708.00
ORD-240210-34344,Tekscrew,"3"" (Per Piece)",32,4.00,128.00
ORD-240210-34344,Tekscrew,"2.5"" (Per Piece)",43,3.50,150.50
ORD-240210-31132,C-Purlins GI,"2"" x 3"" x 6m (1.2mm)",3,450.00,1350.00
ORD-240210-31132,C-Purlins GI,"2"" x 4"" x 6m (1.0mm)",2,410.00,820.00
ORD-240211-44656,C-Purlins GI,"2"" x 4"" x 6m (1.2mm)",1,510.00,510.00
ORD-240211-56676,Adjustable Hacksaw,,2,130.00,260.00
ORD-240212-65252,Republic Cement,,6,255.00,1530.00
ORD-240212-65252,Tekscrew,"1"" (Per Piece)",44,2.00,88.00
ORD-240212-65252,Boysen Lacquer Thinner B50,1 Liter,1,248.00,248.00
ORD-240212-65252,Lucky PPR Elbow Female 1/2,,14,29.00,406.00
ORD-240212-06291,Tekscrew,"2"" (Per Piece)",92,3.00,276.00
ORD-240212-06291,Neltex Electrical Pipe Thinwall,"1"" Per Piece",11,68.00,748.00
ORD-240212-48975,White Sand,,8,48.00,384.00
ORD-240212-45623,Tekscrew,"2.5"" (Per Piece)",90,3.50,315.00
ORD-240212-45623,Coco Lumber,2x2x8 (Per Piece),1,48.00,48.00
ORD-240212-45623,Marine Plywood Local,3/4 (4x8ft),1,920.00,920.00
ORD-240212-00950,Shadow Line,,12,80.00,960.00
ORD-240212-70103,Coco Lumber,2x2x8 (Per Piece),10,48.00,480.00
ORD-240212-70103,Neltex Electrical Pipe Thinwall,"1"" Per Piece",3,68.00,204.00
ORD-240212-38825,Phenolic Board 18mm,,3,780.00,2340.00
ORD-240213-44688,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240213-93615,Tox,#8 Tox (Per Box),2,48.00,96.00
ORD-240213-93615,Neltex Electrical Pipe Thinwall,"3/4"" Per Piece",1,48.00,48.00
ORD-240213-12515,Neltex PPR PVC Pipe,"1/2"" x 3m",5,109.00,545.00
ORD-240213-12515,Wood Screw Flat Head,"2"" (Per Kilo)",5,168.00,840.00
ORD-240213-12515,Adjustable Hacksaw,,4,130.00,520.00
ORD-240213-12515,Tekscrew,"2.5"" (Per Piece)",24,3.50,84.00
ORD-240214-42828,Boysen Permacoat Flat Latex White,16 Liters (1 Pail),1,2850.00,2850.00
ORD-240214-29251,Tekscrew,"1.5"" (Per Piece)",42,2.50,105.00
ORD-240214-29251,Royu THHN Wire 8.0mm,White (Per Box 75m),1,5200.00,5200.00
ORD-240214-29251,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240215-41097,Concrete Hollow Block,"6"" CHB (Per Piece)",6,16.00,96.00
ORD-240215-24366,Boysen Permacoat Flat Latex White,1 Liter,6,225.00,1350.00
ORD-240215-36566,Circuit Breaker Bolt-On,30A,6,268.00,1608.00
ORD-240215-36566,White Sand,,1,48.00,48.00
ORD-240215-71022,Tubular Bar GI,"1"" x 2"" (20ft) 1.2mm",1,450.00,450.00
ORD-240215-71022,Coco Lumber,2x2x8 (Per Piece),6,48.00,288.00
ORD-240215-71022,C-Purlins GI,"2"" x 3"" x 6m (1.2mm)",3,450.00,1350.00
ORD-240216-93555,Concrete Hollow Block,"6"" CHB (Per Piece)",6,16.00,96.00
ORD-240216-93555,Marine Plywood Local,3/4 (4x8ft),3,920.00,2760.00
ORD-240216-93555,Neltex Electrical Pipe Thinwall,"1/2"" Per Piece",8,32.00,256.00
ORD-240216-01781,Royu THHN Wire 8.0mm,Black (Per Box 75m),1,5200.00,5200.00
ORD-240216-01781,Common Wire Nail,"3"" (Per Kilo)",12,58.00,696.00
ORD-240216-01781,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",1,650.00,650.00
ORD-240217-47794,Concrete Hollow Block,"4"" CHB (Per Piece)",3,12.00,36.00
ORD-240217-47794,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",1,650.00,650.00
ORD-240217-82158,Concrete Hollow Block,"6"" CHB (Per Piece)",22,16.00,352.00
ORD-240217-53269,Longspan RIB22,16ft (0.4mm),1,708.00,708.00
ORD-240217-12598,Tekscrew,"1.5"" (Per Piece)",46,2.50,115.00
ORD-240217-40031,Coco Lumber,2x2x10 (Per Piece),5,60.00,300.00
ORD-240217-40031,White Sand,,12,48.00,576.00
ORD-240217-12880,"Hardiflex Screw 1""",,47,2.50,117.50
ORD-240217-12880,Good Lumber S4S,2x3 per Board Foot,2,62.00,124.00
ORD-240217-81241,GI Wire #16,,11,85.00,935.00
ORD-240217-81241,Tekscrew,"2.5"" (Per Piece)",100,3.50,350.00
ORD-240218-39168,Deformed Bar G40,16mm x 6m,4,293.00,1172.00
ORD-240218-39168,Deformed Bar G40,10mm x 6m,2,115.00,230.00
ORD-240219-07625,Coco Lumber,2x2x10 (Per Piece),5,60.00,300.00
ORD-240219-07625,Boysen Lacquer Thinner B50,4 Liters,2,875.00,1750.00
ORD-240219-07625,Boysen Permacoat Flat Latex White,1 Liter,1,225.00,225.00
ORD-240219-07625,Tekscrew,"2"" (Per Piece)",97,3.00,291.00
ORD-240219-07625,"Neltex Electrical Pipe Thickwall 1/2""",,3,65.00,195.00
ORD-240219-59762,"Hardiflex Screw 1""",,97,2.50,242.50
ORD-240219-59762,C-Purlins GI,"2"" x 4"" x 6m (1.5mm)",1,650.00,650.00
ORD-240219-33665,Tekscrew,"2"" (Per Piece)",85,3.00,255.00
ORD-240219-33665,Neltex PVC Sanitary P-Trap,"3""",3,145.00,435.00
ORD-240219-33665,C-Purlins GI,"2"" x 4"" x 6m (1.2mm)",2,510.00,1020.00
ORD-240219-25360,Good Lumber S4S,2x6 per Board Foot,7,65.00,455.00
ORD-240219-25360,Tekscrew,"2.5"" (Per Piece)",82,3.50,287.00
ORD-240219-25360,Neltex PPR PVC Pipe,"1/2"" x 3m",5,109.00,545.00
ORD-240219-25360,Royu THHN Wire 8.0mm,Green (Per Box 75m),1,5200.00,5200.00
ORD-240220-38646,C-Purlins GI,"2"" x 3"" x 6m (1.0mm)",3,380.00,1140.00
ORD-240220-31406,Good Lumber S4S,2x6 per Board Foot,9,65.00,585.00
ORD-240220-31406,Royu THHN Wire 8.0mm,Red (Per Box 75m),1,5200.00,5200.00
ORD-240221-61653,Lucky PPR Elbow Female 1/2,,13,29.00,377.00
ORD-240221-61653,Good Lumber S4S,2x6 per Board Foot,4,65.00,260.00
ORD-240221-20421,White Sand,,10,48.00,480.00
ORD-240221-20421,Adjustable Hacksaw,,1,130.00,130.00
ORD-240221-20421,W-Clip,,18,2.00,36.00
ORD-240221-28446,Eagle Cement Advance,,6,260.00,1560.00
ORD-240221-28446,G.I Pipe Local S20,"3/4"" (20ft)",2,320.00,640.00
ORD-240221-28446,Metal Furring,19 x 50 (10ft),10,71.00,710.00
ORD-240221-98911,Concrete Hollow Block,"6"" CHB (Per Piece)",6,16.00,96.00
ORD-240221-19638,Black Screw Metal,"1.5"" (Per Box 500pcs)",6,265.00,1590.00
